,pl_name,hostname,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,st_spectype_short,pl_tsurf_c,pl_hz_status,pl_type,P_HABITABLE,hz_zone_inner,hz_zone_outer,pl_system_class
2811,Kepler-228 c,Kepler-228,4.134444,0.052,2.7,7.75,0.0,457.32,1160.0,nan,6043.0,1.01,1.01,0.18,4.47,,1051.6692054374234,Too Hot,Neptune-Like,0.0,0.6554652653136798,1.223247014657727,Mixed-Members
2812,Kepler-228 d,Kepler-228,11.094286,0.101,4.04,15.4,0.0,122.78,835.0,nan,6043.0,1.01,1.01,0.18,4.47,,677.4495409307032,Too Hot,Neptune-Like,0.0,0.6554652653136798,1.223247014657727,Mixed-Members
2813,Kepler-229 b,Kepler-229,6.252972,0.062,2.2,5.48,0.0,76.22,823.0,nan,5120.0,0.73,0.81,0.06,4.63,,600.7878567208533,Too Hot,Neptune-Like,0.0,0.3400837666772137,0.634673527852574,NeptuneLike-GasGiant-Only
2814,Kepler-229 c,Kepler-229,16.068638,0.117,4.92,21.5,0.0,21.64,600.0,nan,5120.0,0.73,0.81,0.06,4.63,,363.03506015481685,Too Hot,Neptune-Like,0.0,0.3400837666772137,0.634673527852574,NeptuneLike-GasGiant-Only
2815,Kepler-229 d,Kepler-229,41.194912,0.22,3.85,14.2,0.0,6.16,439.0,nan,5120.0,0.73,0.81,0.06,4.63,,190.79345952247434,Too Hot,Neptune-Like,0.0,0.3400837666772137,0.634673527852574,NeptuneLike-GasGiant-Only
2816,Kepler-23 b,Kepler-23,7.1,0.07212,1.638,2.56,0.017,446.11,1157.0,nan,5828.0,1.55,1.08,-0.112,4.09,,1070.8601209178387,Too Hot,Super-Earth,0.0,0.9356079521373862,1.746056877315054,Mixed-Members
2817,Kepler-23 c,Kepler-23,10.74,0.09501,3.005,7.81,0.021,257.39,1008.0,nan,5828.0,1.55,1.08,-0.112,4.09,,897.8199202770846,Too Hot,Neptune-Like,0.0,0.9356079521373862,1.746056877315054,Mixed-Members
2818,Kepler-23 d,Kepler-23,15.27,0.12012,2.206,4.44,0.01,161.04,896.0,nan,5828.0,1.55,1.08,-0.112,4.09,,768.2623806333123,Too Hot,Neptune-Like,0.0,0.9356079521373862,1.746056877315054,Mixed-Members
2819,Kepler-230 b,Kepler-230,32.625555,0.191,4.26,16.8,0.0,11.82,506.0,nan,5588.0,0.82,0.78,-0.21,4.55,,302.80910210094373,Too Hot,Neptune-Like,0.0,0.4550402017980648,0.8492083377329736,Mixed-Members
2820,Kepler-230 c,Kepler-230,91.773242,0.38,2.04,4.82,0.0,2.98,359.0,nan,5588.0,0.82,0.78,-0.21,4.55,,135.1849291972175,Too Hot,Super-Earth,0.0,0.4550402017980648,0.8492083377329736,Mixed-Members
2821,Kepler-231 b,Kepler-231,10.065275,0.074,1.73,35.4,0.0,14.88,488.0,M1 V,3767.0,0.49,0.58,-0.1,4.78,M,209.0451149966716,Too Hot,Super-Earth,0.0,0.12356925845971999,0.23060829385365583,Terrestrial-SuperEarth-Only
