
st_host_name,pl_lm_class
HD 192263,N/A
TYC 8998-760-1,Anti-ordered
GJ 581,Ordered
GJ 9404,N/A
TOI-1994,N/A
HD 18742,N/A
HIP 14810,Anti-ordered
HD 136118,N/A
HD 114783,Ordered
HD 66428,Anti-ordered
HD 3167,Similar
HD 25015,N/A
L 98-59,Ordered
GJ 514,N/A
TOI-2406,N/A
Gliese 12,N/A
GJ 3293,Ordered
TOI-2420,N/A
TOI-2411,N/A
TOI-2416,N/A
HD 44219,N/A
HD 86065,N/A
TOI-2421,N/A
1RXS J160929.1-210524,N/A
TOI-2427,N/A
TOI-3757,N/A
PZ Tel,N/A
BD-17 63,N/A
GJ 504,N/A
TOI-1107,N/A
HD 27631,N/A
TOI-2445,N/A
TOI-2447,N/A
HD 154857,Similar
TOI-620,N/A
TOI-622,N/A
HD 90156,N/A
TOI-628,N/A
HIP 5763,N/A
TOI-1130,Ordered
17 Sco,N/A
TOI-3785,N/A
TOI-2458,Similar
HD 92788,Similar
LP 791-18,Ordered
HD 148156,N/A
LTT 9779,N/A
TOI-615,N/A
TOI-1135,N/A
GJ 536,N/A
PDS 70,Similar
TOI-1136,Similar
HD 148164,Ordered
HD 106315,Similar
HD 137496,Ordered
TOI-2485,N/A
"Barnard's star",N/A
HN Peg,N/A
HD 118203,Ordered
K2-259,N/A
HD 221585,N/A
Kepler-1766,N/A
Kepler-1767,N/A
Kepler-1768,N/A
Kepler-1769,N/A
Kepler-549,Similar
TOI-2497,N/A
TOI-558,N/A
TOI-559,N/A
HD 103197,N/A
Kepler-546,N/A
Kepler-545,N/A
HD 108874,Similar
Kepler-1760,N/A
Kepler-1761,N/A
Kepler-547,N/A
Kepler-1762,N/A
Kepler-542,N/A
Kepler-1763,N/A
Kepler-541,N/A
K2-250,N/A
Kepler-1764,N/A
Kepler-544,N/A
Kepler-1765,N/A
Kepler-543,N/A
K2-252,N/A
K2-251,N/A
K2-254,Ordered
Kepler-540,N/A
GQ Lup,N/A
K2-255,N/A
K2-258,N/A
K2-257,N/A
TOI-544,N/A
TOI-540,N/A
Kepler-1777,N/A
Kepler-1778,N/A
Kepler-1779,N/A
TOI-1174,N/A
TOI-4201,N/A
Kepler-557,N/A
Kepler-1770,N/A
Kepler-556,N/A
HD 108863,N/A
Kepler-1771,N/A
Kepler-559,N/A
TOI-2498,N/A
Kepler-1772,N/A
Kepler-558,N/A
Kepler-1773,N/A
Kepler-553,Ordered
Kepler-1774,N/A
Kepler-552,N/A
K2-261,N/A
Kepler-1775,N/A
Kepler-555,N/A
K2-260,N/A
Kepler-1776,N/A
Kepler-554,N/A
K2-263,N/A
Kepler-551,N/A
K2-264,Similar
Kepler-550,N/A
K2-269,N/A
HIP 65407,Ordered
K2-268,Ordered
K2-238,N/A
HD 2685,N/A
K2-237,N/A
TOI-532,N/A
K2-239,Similar
TOI-1180,N/A
TOI-530,N/A
Kepler-1744,N/A
Kepler-1745,N/A
TOI-1181,N/A
Kepler-1746,N/A
TOI-1184,N/A
Kepler-1747,N/A
Kepler-1748,N/A
Kepler-528,N/A
Kepler-1749,N/A
Kepler-527,N/A
TOI-5542,N/A
Kepler-529,Similar
Kepler-524,Ordered
Kepler-523,N/A
Kepler-526,N/A
Kepler-525,N/A
Kepler-1740,N/A
Kepler-520,Ordered
Kepler-1741,N/A
Kepler-1742,N/A
Kepler-522,N/A
Kepler-1743,N/A
Kepler-521,N/A
K2-230,N/A
K2-232,N/A
K2-233,Similar
K2-249,N/A
K2-248,N/A
Kepler-1755,N/A
Kepler-1756,N/A
Kepler-1757,N/A
Kepler-1758,N/A
TOI-1194,N/A
Kepler-1759,N/A
Kepler-539,Ordered
HD 12661,Similar
TOI-1199,N/A
Kepler-535,N/A
Kepler-534,Ordered
Kepler-537,N/A
Kepler-1750,N/A
Kepler-536,N/A
Kepler-1751,N/A
Kepler-531,N/A
Kepler-1752,N/A
Kepler-1753,N/A
Kepler-533,N/A
AB Pic,N/A
Kepler-1754,N/A
Kepler-532,N/A
K2-241,N/A
K2-240,Similar
K2-243,Similar
K2-242,N/A
HIP 65426,N/A
K2-245,N/A
K2-244,N/A
K2-247,Similar
K2-246,N/A
K2-216,N/A
Kepler-1722,N/A
Kepler-1723,N/A
Kepler-509,N/A
HD 166724,N/A
Kepler-1724,N/A
Kepler-1725,N/A
Kepler-1726,N/A
Kepler-506,N/A
Kepler-1727,N/A
Kepler-505,N/A
Kepler-1728,N/A
Kepler-508,N/A
HD 73526,N/A
Kepler-1729,N/A
Kepler-507,N/A
Kepler-502,N/A
Kepler-501,Ordered
Kepler-1720,N/A
Kepler-500,N/A
Kepler-1721,N/A
K2-212,N/A
K2-211,N/A
K2-214,N/A
K2-226,N/A
K2-229,Ordered
K2-228,N/A
OGLE-TR-211,N/A
Kepler-1733,N/A
Kepler-1734,N/A
LP 714-47,N/A
Kepler-1735,N/A
Kepler-1736,N/A
EPIC 212737443,Similar
Kepler-1737,N/A
HD 106252,N/A
Kepler-1738,N/A
Kepler-516,N/A
Kepler-1739,N/A
Kepler-518,N/A
Kepler-513,N/A
Kepler-512,N/A
HD 12648,N/A
Kepler-1730,N/A
Kepler-1731,N/A
Kepler-511,Ordered
Kepler-1732,N/A
Kepler-510,N/A
K2-220,N/A
K2-223,Ordered
K2-222,N/A
K2-225,N/A
K2-224,Ordered
Kepler-1708,N/A
Kepler-1709,N/A
HD 205158,N/A
Kepler-1700,N/A
Kepler-1701,N/A
Kepler-1702,N/A
Kepler-1704,N/A
Kepler-1705,N/A
HD 33564,N/A
HD 73534,N/A
Kepler-1719,N/A
TOI-564,N/A
K2-204,N/A
K2-208,N/A
TOI-561,Ordered
Kepler-1711,N/A
HD 106270,N/A
Kepler-1712,N/A
Kepler-1713,N/A
Kepler-1714,N/A
Kepler-1715,N/A
Kepler-1716,N/A
Kepler-1717,N/A
Kepler-1718,N/A
Kepler-1710,N/A
K2-203,N/A
HD 224693,N/A
HD 28192,N/A
HD 211810,N/A
TIC 237913194,N/A
HD 25912,Ordered
HR 810,N/A
HD 13931,N/A
HD 135625,N/A
HD 217107,Ordered
HD 28185,Ordered
HD 73583,Similar
HD 77946,N/A
Ross 508,N/A
HD 136925,N/A
TOI-6002,N/A
HD 222076,N/A
HD 169830,Ordered
HD 75302,N/A
HD 16175,N/A
TOI-6016,N/A
HD 60292,N/A
Kepler-589,Ordered
K2-292,N/A
Kepler-586,N/A
K2-291,N/A
Kepler-585,N/A
TOI-6008,N/A
Kepler-588,N/A
Kepler-587,N/A
Kepler-582,N/A
K2-295,N/A
Kepler-581,N/A
HD 13908,Ordered
Kepler-584,N/A
Kepler-583,N/A
Kepler-580,N/A
HD 21520,N/A
HD 203387,Ordered
Kepler-597,N/A
Kepler-596,N/A
Kepler-599,N/A
Kepler-598,Ordered
Kepler-593,N/A
Kepler-592,N/A
Kepler-595,Ordered
