,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_dens,pl_orbeccen,pl_ratdor,pl_ratror,st_teff,st_rad,st_mass,st_met,st_logg,st_age,st_dens,sy_dist,sy_bmag,sy_vmag,hz_label
151,1,4,7.95839,0.08377,0.86,0.077,7.7,0.02423,67.0,0.11,,,5854.0,1.45,1.24,0.321,,4.29,,525.997,13.33,12.543,0.0
152,1,4,14.749143,0.12638,2.903,0.259,14.1,0.04436,3.18,0.1,,,5854.0,1.45,1.24,0.321,,4.29,,525.997,13.33,12.543,0.0
179,1,2,6.4816307,0.0701,2.49,0.222,4.9,0.01542,1.7,0.11,,,5950.0,1.39,1.09,-0.02,,6.2,,474.861,12.826,12.398,0.0
180,1,2,21.22265,0.1546,2.65,0.236,8.2,0.0258,2.4,0.098,,,5950.0,1.39,1.09,-0.02,,6.2,,474.861,12.826,12.398,0.0
212,1,2,224.77833,0.751,7.084,0.632,222.47988,0.7,3.42,0.176,141.0,0.0568,5914.0,1.15,1.12,0.237,4.37,3.4,1.05,657.223,14.341,13.543,0.0
232,1,2,199.66876,0.6193,1.45,,,,,0.0,171.8,0.01444,5678.0,0.92,0.79,-0.4,4.41,,2.4075,635.736,14.918,14.221,1.0
283,1,2,59.284064,0.2832,1.81,,,,,0.0,71.4,0.0193,5225.0,0.86,0.86,0.14,4.5,,1.9561,940.211,16.439,15.749,0.0
292,1,2,18.7959228,0.1445,8.059,0.719,29.875,0.094,0.3,0.0493,19.67,0.0463,6150.0,1.61,1.13,-0.04,4.1,5.3,0.41,1455.57,15.056,14.282,0.0
293,1,2,50.790391,0.2804,12.341,1.101,584.78,1.84,1.74,0.0323,38.18,0.07052,6150.0,1.61,1.13,-0.04,4.1,5.3,0.41,1455.57,15.056,14.282,0.0
308,1,2,8.93484887,0.0928,1.83,,,,,0.0,12.89,0.01242,6688.0,1.35,1.34,0.07,4.3,,0.5072,938.417,14.137,13.549,0.0
329,1,1,4.4379629,0.0553,19.661,1.754,137.30256,0.432,0.11,,8.019,0.11887,5947.0,1.48,1.17,0.07,4.17,,,881.386,14.271,13.468,0.0
461,2,3,27.50868,0.178,2.9,0.259,,,,0.0,32.6,0.023,5879.0,1.17,1.0,0.02,4.29,,0.87,316.663,12.16,11.572,0.0
571,1,4,10.3134,0.0753,0.64,0.057,0.07,0.00022,1.7,0.02,30.3,,3841.0,0.54,0.54,-0.18,4.71,,4.9,66.8624,14.621,13.04,0.0
572,1,4,13.7815,0.0913,1.51,0.135,2.3,0.00724,3.6,0.017,37.0,,3841.0,0.54,0.54,-0.18,4.71,,4.9,66.8624,14.621,13.04,0.0
573,1,4,23.0923,0.1288,1.51,0.135,2.1,0.00661,3.6,0.01,51.8,,3841.0,0.54,0.54,-0.18,4.71,,4.9,66.8624,14.621,13.04,0.0
694,1,2,11.6044881,0.0981,1.88,,,,,0.0,26.22,0.01475,5533.0,1.17,0.93,0.16,4.28,,2.5315,978.678,16.118,15.421,0.0
714,1,2,35.8007112,0.2588,7.97,,,,,0.0,33.86,0.01846,5745.0,3.96,1.8,0.4,3.5,,0.5732,1014.62,14.087,13.6,0.0
723,1,2,61.569765,0.3045,2.44,,,,,0.0,43.0,0.01607,5626.0,1.39,0.99,0.14,4.15,,0.3979,2065.59,16.519,15.796,0.0
754,1,2,217.83184,0.753,12.42,1.108,1678.1424,5.28,4.82,0.401,125.6,0.08835,6145.0,1.29,1.2,0.119,4.29,2.9,0.787,397.292,12.482,11.766,0.0
755,1,2,10.514181,0.0997,1.176,0.105,,,,0.32,16.63,0.00836,6145.0,1.29,1.2,0.119,4.29,2.9,0.787,397.292,12.482,11.766,0.0
760,1,2,9.6310258,0.0905,2.9,,,,,0.0,5.25,0.01973,6432.0,1.34,1.06,-0.34,4.21,,0.0295,903.51,13.855,13.374,0.0
885,1,2,44.9851885,0.2323,2.09,,,,,0.0,64.4,0.02397,5295.0,0.8,0.82,-0.1,4.55,,2.4928,864.331,17.016,16.077,0.0
922,1,4,94.886902,0.4025,4.24,,,,,0.0,34.4,0.0354,5888.0,1.1,0.97,-0.1,4.34,,0.0857,890.758,14.625,14.379,0.0
933,1,2,8.689099,,1.017,0.091,,,,,44.77,0.0402,3240.0,0.23,0.2,-0.15,5.0,,,92.1913,,17.95,1.0
934,1,2,19.53527,,1.06,0.095,,,,,76.8,0.042,3240.0,0.23,0.2,-0.15,5.0,,,92.1913,,17.95,1.0
939,1,1,38.09722,0.1654,1.6,0.143,,,,,91.0,0.0387,3638.0,0.38,0.4,-0.3,4.88,3.2,7.05,,18.805,16.86,1.0
940,1,1,140.2524,0.4706,2.17,0.194,,,,,146.7,0.0286,4807.0,0.69,0.72,-0.18,4.62,7.7,2.16,,16.983,15.864,1.0
941,1,1,1047.8356,2.026,9.18,0.819,158.915,0.5,1.2,0.26,370.3,0.07138,5597.0,1.18,1.01,-0.088,4.3,5.0,0.876,568.117,14.332,13.497,1.0
942,1,1,11.8728787,0.1029,2.213,0.197,5.4,0.01699,2.72,0.19,,,6148.0,1.03,1.03,-0.24,,2.56,,213.26,11.624,11.045,0.0
949,2,1,175.06,0.633,3.87,0.345,17.0,0.05349,1.6,0.057,,0.04651,5100.0,0.76,0.84,-0.12,4.66,2.0,,410.607,15.384,14.357,1.0
959,1,3,4.72941177,0.0468,1.22,,,,,0.0,16.04,0.01851,4224.0,0.6,0.61,-0.2,4.66,,3.4878,543.444,17.908,16.473,0.0
960,2,4,4.3931539,0.04825,1.718,0.153,,,,0.0,,,4884.0,0.75,0.78,0.02,4.58,7.1,2.6,341.908,15.108,14.284,0.0
961,2,4,7.406106,0.0684,1.674,0.149,,,,0.0,,,4884.0,0.75,0.78,0.02,4.58,7.1,2.6,341.908,15.108,14.284,0.0
962,2,4,21.80379,0.1404,1.238,0.11,,,,0.0,,,4884.0,0.75,0.78,0.02,4.58,7.1,2.6,341.908,15.108,14.284,0.0
963,2,4,1071.23205,1.883,10.16,0.906,321.00669,1.01,1.68,0.29,,,4884.0,0.75,0.78,0.02,4.58,7.1,2.6,341.908,15.108,14.284,0.0
1002,1,1,1.4857108,0.02591,14.68,1.31,778.65,2.45,1.35,0.011,5.48,0.13031,5781.0,1.01,1.04,0.26,4.45,,1.4217,720.753,14.99,14.314,0.0
1008,1,1,988.88112,2.027,11.949,1.066,1322.16617,4.16,4.07,0.92,256.4,0.0644,5746.0,1.7,1.13,0.196,4.03,7.4,0.325,835.455,14.021,13.392,1.0
1011,1,1,737.1131,1.64,9.96,0.889,1462.01067,4.6,,0.4,317.9,0.0818,6157.0,1.12,1.09,0.0,4.37,3.16,1.1,1666.69,16.613,15.823,1.0
1091,1,2,36.8601,,3.5,0.312,5.84,0.01837,0.75,0.0,,,5732.0,1.32,0.92,-0.11,4.1,,,1435.44,15.885,15.171,0.0
1092,1,2,49.40926,,8.73,0.779,14.7,0.04625,0.121,0.0,42.08,0.06036,5732.0,1.32,0.92,-0.11,4.1,,,1435.44,15.885,15.171,0.0
1135,1,2,116.583183,0.4572,2.91,,,,,0.0,129.5,0.02715,5738.0,0.98,0.94,-0.06,4.43,,3.0227,839.332,15.546,15.28,0.0
1151,1,2,0.62628177,0.0133,1.76,,,,,0.0,3.547,0.01958,4922.0,0.82,0.79,0.2,4.5,,2.1527,726.346,17.197,15.814,0.0
1176,1,2,0.76669152,0.015,1.22,,,,,0.0,4.39,0.01422,4821.0,0.79,0.77,0.16,4.53,,2.7316,500.395,15.794,15.18,0.0
1207,1,2,3.59645081,0.0473,1.66,,,,,0.0,6.71,0.01232,5887.0,1.24,1.09,0.16,4.29,,0.4413,1331.25,15.99,15.178,0.0
1212,1,5,129.9441,0.432,1.17,0.104,,,,0.04,178.0,0.0205,3755.0,0.52,0.54,-0.26,4.74,4.0,5.29,177.594,16.867,15.138,1.0
1223,1,2,1.7168283,0.028,0.74,,,,,0.0,4.67,0.00755,5808.0,0.9,0.99,-0.06,4.52,,0.653,113.025,10.957,10.31,0.0
1232,1,1,6.99205,0.0758,0.853,0.076,2.4,0.00755,19.0,0.098,,,6104.0,1.48,1.19,0.01,,4.4,,259.935,11.444,10.793,0.0
1255,1,2,5.05368985,0.0576,1.21,,,,,0.0,13.27,0.01231,5772.0,0.9,1.0,0.0,4.53,,1.7297,935.191,14.667,15.452,0.0
1261,1,3,9.28699,0.0846,2.209,0.197,6.1,0.01919,3.1,0.41,,,5541.0,0.86,0.94,-0.13,,1.9,,218.562,12.878,12.035,0.0
1293,1,2,3.15722086,0.0454,1.41,,,,,0.0,6.48,0.00645,6120.0,2.0,1.25,0.02,3.93,,0.5161,928.989,13.905,13.103,0.0
1358,1,1,4.95931924,0.0565,12.21,,,,,0.0,12.386,0.10338,5712.0,1.08,0.98,0.1,4.36,,1.4617,1314.51,16.273,15.445,0.0
1359,1,1,4.53702121,0.0486,1.66,,,,,0.0,14.16,0.02205,4805.0,0.69,0.77,-0.06,4.63,,2.6104,592.711,14.906,16.047,0.0
1360,1,1,10.84969477,0.0914,2.67,,,,,0.0,20.83,0.0314,5251.0,0.78,0.87,-0.04,4.59,,1.4533,865.512,14.918,15.49,0.0
1361,1,1,18.5084526,0.1383,29.33,,,,,0.0,5.88,0.28636,5942.0,0.94,1.03,-0.06,4.51,,0.0112,1076.27,16.126,15.484,0.0
1365,1,1,33.0257179,0.2049,2.21,,,,,0.0,42.65,0.02042,5819.0,0.99,1.05,0.14,4.47,,1.3454,1709.4,15.935,15.906,0.0
1366,1,1,453.54212,1.3292,9.23,,,,,0.0,164.9,0.02813,5874.0,3.01,1.52,0.12,3.66,,0.4125,659.395,14.648,13.563,0.0
1367,1,1,3.82315697,0.0511,0.77,,,,,0.0,12.3,0.00629,6202.0,1.12,1.21,0.21,4.42,,2.4067,558.855,13.32,12.696,0.0
1368,1,1,7.32851947,0.0689,2.33,,,,,0.0,13.31,0.02445,5135.0,0.87,0.81,0.12,4.46,,0.8313,424.428,15.416,14.518,0.0
1369,1,1,1.99281234,0.0238,6.81,,,,,0.0,1.971,0.14857,3638.0,0.42,0.45,-0.14,4.84,,0.0365,,18.353,16.192,0.0
1370,1,1,3.42064689,0.0426,2.27,,,,,0.0,6.63,0.02152,5370.0,0.97,0.88,0.14,4.41,,0.4717,,,15.223,0.0
1371,1,1,19.5489666,0.1307,1.89,,,,,0.0,50.2,0.02362,5549.0,0.73,0.78,-0.54,4.6,,6.2798,912.085,16.301,15.661,0.0
1372,1,4,2.345863,0.0318,1.23,,,,,0.0,10.85,0.01572,4769.0,0.71,0.8,0.12,4.62,,4.3876,595.683,,15.477,0.0
1373,1,4,3.64830183,0.0427,1.33,,,,,0.0,14.17,0.01701,4769.0,0.71,0.8,0.12,4.62,,4.0426,595.683,,15.477,0.0
1374,1,4,5.64491415,0.0571,2.66,,,,,0.0,17.83,0.03411,4769.0,0.71,0.8,0.12,4.62,,3.3637,595.683,,15.477,0.0
1375,1,4,8.74292005,0.0765,1.92,,,,,0.0,26.04,0.02459,4769.0,0.71,0.8,0.12,4.62,,4.3711,595.683,,15.477,0.0
1376,1,1,11.49500229,0.1038,1.53,,,,,0.0,5.08,0.00785,6033.0,1.79,1.13,-0.1,3.98,,0.0187,513.426,12.894,12.128,0.0
1377,1,1,10.16102353,0.0918,4.62,,,,,0.0,18.52,0.03995,6032.0,1.06,1.0,-0.14,4.39,,1.1647,1252.13,12.699,14.289,0.0
1380,1,2,1.73513619,0.0286,3.27,,,,,0.0,6.0158,0.02796,5751.0,1.07,1.03,0.21,4.39,,1.368,392.739,13.264,11.946,0.0
1381,1,2,4.06844957,0.0504,0.98,,,,,0.0,9.3,0.00841,5751.0,1.07,1.03,0.21,4.39,,0.9182,392.739,13.264,11.946,0.0
1382,1,2,13.26079792,0.1065,1.47,,,,,0.0,25.61,0.01276,5478.0,1.05,0.91,0.16,4.35,,1.8071,855.82,,15.048,0.0
1383,1,2,22.79020351,0.1528,2.57,,,,,0.0,35.303,0.02233,5478.0,1.05,0.91,0.16,4.35,,1.6025,855.82,,15.048,0.0
1384,1,1,15.6112238,0.1169,0.91,,,,,0.0,27.6,0.00985,5383.0,0.84,0.87,0.0,4.53,,1.6256,532.955,14.542,13.79,0.0
1385,1,1,26.6565737,0.1943,4.15,,,,,0.0,30.6,0.01241,5159.0,3.06,1.37,-0.04,3.6,,0.7638,1031.91,14.526,13.451,0.0
1386,1,1,4.61225043,0.053,0.51,,,,,0.0,13.15,0.00485,5495.0,0.96,0.93,0.16,4.44,,2.0228,241.991,12.734,12.01,0.0
1387,1,1,73.7578875,0.3259,4.28,,,,,0.0,159.1,0.04213,5029.0,0.93,0.85,0.48,4.43,,14.0076,595.331,16.426,15.516,0.0
1388,1,2,32.376183,0.1789,2.26,,,,,0.0,28.2,0.03067,4580.0,0.68,0.75,0.08,4.64,,0.4057,440.561,14.114,15.11,0.0
1389,1,2,92.7297248,0.3608,2.81,,,,,0.0,60.8,0.03819,4580.0,0.68,0.75,0.08,4.64,,0.4944,440.561,14.114,15.11,1.0
1390,1,1,26.7575866,0.1815,2.28,,,,,0.0,32.6,0.01988,6215.0,1.05,1.11,-0.06,4.44,,0.9186,1502.34,15.222,15.454,0.0
1391,1,1,3.03267135,0.0405,0.6,,,,,0.0,12.78,0.00593,5640.0,0.92,0.96,0.06,4.49,,4.2915,340.965,14.226,12.74,0.0
1392,1,1,8.7396758,0.0713,3.29,,,,,0.0,7.43,0.04792,4406.0,0.63,0.63,-0.24,4.64,,0.1014,701.255,18.291,16.433,0.0
1393,2,6,3.6961049,0.04565,1.773,0.158,9.7,0.03052,9.4,0.083,,,5495.0,0.92,0.93,0.07,,5.6,,282.563,13.278,12.61,0.0
1394,2,6,10.8540774,0.0936,2.894,0.258,11.1,0.03492,2.51,0.076,,,5495.0,0.92,0.93,0.07,,5.6,,282.563,13.278,12.61,0.0
1395,2,6,77.611455,0.3474,2.606,0.232,13.4,0.04216,4.1,0.082,,,5495.0,0.92,0.93,0.07,,5.6,,282.563,13.278,12.61,0.0
1396,2,6,6.0984882,0.0637,0.821,0.073,0.76,0.00239,7.5,0.092,,,5495.0,0.92,0.93,0.07,,5.6,,282.563,13.278,12.61,0.0
1397,2,6,19.578328,0.1387,0.952,0.085,1.4,0.0044,8.4,0.094,,,5495.0,0.92,0.93,0.07,,5.6,,282.563,13.278,12.61,0.0
1400,1,2,6.38315913,0.0562,2.73,,,,,0.0,28.55,0.04336,3757.0,0.58,0.58,0.48,4.68,,10.8059,320.588,16.781,15.642,0.0
1401,1,2,20.6180348,0.1228,1.57,,,,,0.0,48.85,0.02489,3757.0,0.58,0.58,0.48,4.68,,5.1879,320.588,16.781,15.642,0.0
1402,1,2,1.090011,0.0197,1.04,,,,,0.0,4.84,0.01236,5081.0,0.77,0.86,0.12,4.6,,1.8077,776.55,17.631,15.981,0.0
1403,1,2,14.09258319,0.1084,1.82,,,,,0.0,21.704685,0.02168,5081.0,0.77,0.86,0.12,4.6,,0.9739,776.55,17.631,15.981,0.0
1427,2,1,2.7858212,0.0434,1.639,0.146,7.5,0.0236,9.3,0.0,,,6305.0,1.9,1.41,-0.03,,2.84,,108.522,8.431,8.25,0.0
1453,1,1,289.863876,0.812,2.1,0.187,9.1,0.02863,5.2,0.72,,,5596.0,0.87,0.86,-0.255,,7.0,,194.642,12.597,11.751,1.0
1574,1,4,12.28,,2.78,0.248,5.12,0.01611,1.26,,,,3914.0,0.51,0.54,-0.13,,,,335.307,17.203,15.853,0.0
1575,1,4,17.2559,,2.72,0.243,6.2,0.01951,1.61,,,,3914.0,0.51,0.54,-0.13,,,,335.307,17.203,15.853,0.0
1658,1,2,10.33974,,2.55,0.227,5.0,0.01573,1.65,0.0,24.95,0.03194,5378.0,0.73,0.76,-0.44,4.6,,,832.532,16.014,15.547,0.0
1659,1,2,13.28613,,2.34,0.209,4.5,0.01416,1.91,0.0,,,5378.0,0.73,0.76,-0.44,4.6,,,832.532,16.014,15.547,0.0
1662,1,3,0.76401755,0.0154,0.86,,,,,0.0,4.86,0.01049,5142.0,0.76,0.84,-0.06,4.6,,3.7212,694.627,16.586,15.775,0.0
1677,2,5,10.864384,0.079,1.61,0.144,,,,0.33,35.5,0.0308,3740.0,0.48,0.5,-0.08,4.77,,6.4,,18.589,16.363,0.0
1678,2,5,5.8416366,0.0521,2.0,0.178,,,,0.33,23.5,0.0381,3740.0,0.48,0.5,-0.08,4.77,,6.4,,18.589,16.363,0.0
1679,2,5,19.850291,0.118,2.09,0.186,,,,0.33,53.1,0.0398,3740.0,0.48,0.5,-0.08,4.77,,6.4,,18.589,16.363,0.0
1680,2,5,34.14211,0.169,1.53,0.136,,,,0.33,76.2,0.0291,3740.0,0.48,0.5,-0.08,4.77,,6.4,,18.589,16.363,1.0
1681,2,5,63.33627,0.255,1.8,0.161,,,,0.33,115.1,0.0344,3740.0,0.48,0.5,-0.08,4.77,,6.4,,18.589,16.363,1.0
1684,1,3,150.0189511,0.523,32.6,,,,,0.0,119.3,0.33285,5618.0,0.9,0.85,-0.22,4.46,,1.4261,692.14,15.572,14.326,0.0
1716,1,2,10.4208,,2.43,0.217,7.44,0.02341,2.62,,,,5367.0,0.81,0.91,0.19,,,,575.581,15.752,14.149,0.0
1717,1,2,13.0729,,2.2,0.196,3.64,0.01145,1.74,,,,5367.0,0.81,0.91,0.19,,,,575.581,15.752,14.149,0.0
1730,1,3,232.040326,0.7326,2.05,,,,,0.0,117.8,0.01628,5903.0,1.16,0.97,-0.1,4.3,,0.5744,778.654,14.924,13.902,0.0
1759,1,2,1.678328,0.02778,1.381,0.123,3.9,0.01227,8.2,0.095,,,6004.0,1.12,1.01,-0.14,,5.4,,454.883,13.454,12.78,0.0
1760,1,2,3.5538229,0.0458,1.57,0.14,6.8,0.0214,9.6,0.095,,,6004.0,1.12,1.01,-0.14,,5.4,,454.883,13.454,12.78,0.0
1830,1,3,85.517344,0.3802,3.04,,,,,0.0,27.0,0.01921,5592.0,1.45,1.0,0.16,4.12,,0.0508,1298.88,15.36,14.567,0.0
1862,1,2,13.86825,,1.498,0.134,3.83,0.01205,6.26,0.0,,,5979.0,1.63,1.03,-0.18,4.1,,,527.956,12.656,11.941,0.0
1863,1,2,16.21865,,3.679,0.328,7.13,0.02243,0.787,0.0,16.69,0.02062,5979.0,1.63,1.03,-0.18,4.1,,,527.956,12.656,11.941,0.0
1885,1,4,13.36702,0.1019,0.31,0.028,0.79,0.00249,140.0,0.098,,,5357.0,0.79,0.79,-0.36,,7.6,,63.9207,10.446,9.770001,0.0
1886,1,4,21.301848,0.139,0.755,0.067,1.3,0.00409,15.0,0.099,,,5357.0,0.79,0.79,-0.36,,7.6,,63.9207,10.446,9.770001,0.0
1887,1,4,39.7922622,0.2109,2.03,0.181,2.0,0.00629,1.3,0.1,,,5357.0,0.79,0.79,-0.36,,7.6,,63.9207,10.446,9.770001,0.0
1911,2,1,105.599,0.4632,4.3,0.384,122.0,0.384,,0.032,,0.02254,5623.0,1.75,0.94,-0.11,3.93,10.0,0.175,1174.59,14.56,14.015,0.0
1934,1,1,21.08721,0.164,13.9,1.24,6388.1,20.1,13.0,0.112,24.92,0.091,6350.0,1.4,1.29,0.1,4.4,2.1,0.66,1057.41,15.117,14.355,0.0
1958,1,1,3.21346,0.0456,4.002,0.357,24.472,0.077,1.91,0.0,6.47,0.0247,5857.0,1.49,1.22,0.17,4.17,4.5,,487.916,13.209,12.285,0.0
1959,1,1,6.87349,0.08,13.11,1.17,699.2,2.2,1.68,0.0,8.11,0.0565,6510.0,2.13,1.48,0.1,3.94,2.8,0.213,2305.01,15.204,14.657,0.0
1980,1,1,68.9583216,0.3192,1.199,0.107,6.0,0.01888,19.0,0.69,,,5421.0,0.9,0.91,0.05,,5.8,,68.173,10.357,9.636,0.0
1981,1,1,1.8555582,0.03101,14.46,1.29,177.98,0.56,0.33,0.0,5.159,0.10265,5750.0,1.29,1.15,0.38,4.28,4.4,0.754,1093.08,15.367,14.509,0.0
1983,2,4,3.005156,0.0375,2.401,0.214,25.6,0.08055,10.3,0.146,,0.0266,,0.82,0.87,,,0.212,,153.676,14.745,12.448,0.0
1984,2,4,7.834435,0.0739,4.421,0.394,26.4,0.08306,1.7,0.108,,0.0449,,0.82,0.87,,,0.212,,153.676,14.745,12.448,0.0
1985,2,4,58.02035,0.279,3.319,0.296,15.2,0.04782,2.3,0.128,,0.0372,,0.82,0.87,,,0.212,,153.676,14.745,12.448,0.0
1986,2,4,31.509728,0.186,,,10.8,0.03398,,0.016,,,,0.82,0.87,,,0.212,,153.676,14.745,12.448,0.0
1987,1,1,1.7208604,0.02897,15.031,1.341,299.07803,0.941,0.52,,4.841,0.10474,5750.0,1.29,1.17,0.27,4.3,,,1086.24,15.037,14.399,0.0
1995,1,3,3.07644709,0.0407,1.61,,,,,0.0,6.54,0.01442,5670.0,1.02,0.95,0.06,4.4,,0.5583,690.819,,14.166,0.0
2002,1,3,1.2137672,0.0116,0.78,0.07,,,,,,0.0419,3068.0,0.17,0.13,-0.33,,4.5,,40.0595,18.121,16.7,0.0
2003,1,3,0.45328509,0.006,0.73,0.065,,,,,,0.0395,3068.0,0.17,0.13,-0.33,,4.5,,40.0595,18.121,16.7,0.0
2004,1,3,1.865169,0.0154,0.57,0.051,,,,,,0.0307,3068.0,0.17,0.13,-0.33,,4.5,,40.0595,18.121,16.7,0.0
2005,1,1,704.1984,1.219,4.16,0.371,,,,0.041,346.0,0.05008,5308.0,0.76,0.79,-0.25,4.61,4.0,1.58,348.558,14.289,13.611,1.0
2007,1,1,2.6843285,0.03585,13.361,1.192,189.101,0.595,0.459,0.019,8.106,0.12599,5560.0,0.95,0.85,-0.1,4.41,11.0,1.398,758.753,15.205,14.462,0.0
2009,1,1,3.79701816,0.0464,10.962,0.978,79.45,0.25,0.27,0.33,11.6,0.1168,5170.0,0.86,0.93,0.24,4.54,5.0,1.448,646.647,16.047,14.845,0.0
2010,1,1,3.21751883,0.0414,12.22,1.09,108.06,0.34,0.26,0.18,9.67,0.1221,5725.0,0.92,0.91,-0.21,4.47,6.0,1.17,843.695,15.736,15.032,0.0
