,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_ratdor,pl_ratror,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,sy_dist,sy_bmag,sy_vmag,label
1427,2,1,2.7858212,0.0434,1.639,0.146,7.5,0.0236,9.3,0.0,2749.0,2015.0,,,6305.0,1.9,1.41,-0.03,,,2.84,,,13.42,,108.522,8.431,8.25,0.0
1453,1,1,289.863876,0.812,2.1,0.187,9.1,0.02863,5.2,0.72,1.01,279.0,,,5596.0,0.87,0.86,-0.255,,,7.0,,,,,194.642,12.597,11.751,1.0
1662,1,3,0.76401755,0.0154,0.86,,,,,0.0,1503.79,1589.0,4.86,0.01049,5142.0,0.76,0.84,-0.06,,4.6,,3.7212,,,,694.627,16.586,15.775,0.0
1684,1,3,150.0189511,0.523,32.6,,,,,0.0,2.62,325.0,119.3,0.33285,5618.0,0.9,0.85,-0.22,,4.46,,1.4261,,,,692.14,15.572,14.326,0.0
1730,1,3,232.040326,0.7326,2.05,,,,,0.0,2.71,327.0,117.8,0.01628,5903.0,1.16,0.97,-0.1,,4.3,,0.5744,,,,778.654,14.924,13.902,0.0
1759,1,2,1.678328,0.02778,1.381,0.123,3.9,0.01227,8.2,0.095,1900.0,1838.0,,,6004.0,1.12,1.01,-0.14,,,5.4,,,,,454.883,13.454,12.78,0.0
1760,1,2,3.5538229,0.0458,1.57,0.14,6.8,0.0214,9.6,0.095,700.0,1431.0,,,6004.0,1.12,1.01,-0.14,,,5.4,,,,,454.883,13.454,12.78,0.0
1830,1,3,85.517344,0.3802,3.04,,,,,0.0,12.75,482.0,27.0,0.01921,5592.0,1.45,1.0,0.16,,4.12,,0.0508,,,,1298.88,15.36,14.567,0.0
1885,1,4,13.36702,0.1019,0.31,0.028,0.79,0.00249,140.0,0.098,44.5,718.0,,,5357.0,0.79,0.79,-0.36,,,7.6,,,,,63.9207,10.446,9.770001,0.0
1886,1,4,21.301848,0.139,0.755,0.067,1.3,0.00409,15.0,0.099,23.9,615.0,,,5357.0,0.79,0.79,-0.36,,,7.6,,,,,63.9207,10.446,9.770001,0.0
1887,1,4,39.7922622,0.2109,2.03,0.181,2.0,0.00629,1.3,0.1,10.39,499.0,,,5357.0,0.79,0.79,-0.36,,,7.6,,,,,63.9207,10.446,9.770001,0.0
1911,2,1,105.599,0.4632,4.3,0.384,122.0,0.384,,0.032,,475.0,,0.02254,5623.0,1.75,0.94,-0.11,,3.93,10.0,0.175,2.4,,,1174.59,14.56,14.015,0.0
1934,1,1,21.08721,0.164,13.9,1.24,6388.1,20.1,13.0,0.112,,897.0,24.92,0.091,6350.0,1.4,1.29,0.1,,4.4,2.1,0.66,16.0,,-0.06,1057.41,15.117,14.355,0.0
1958,1,1,3.21346,0.0456,4.002,0.357,24.472,0.077,1.91,0.0,,1650.0,6.47,0.0247,5857.0,1.49,1.22,0.17,0.354,4.17,4.5,,2.2,,-61.0,487.916,13.209,12.285,0.0
1959,1,1,6.87349,0.08,13.11,1.17,699.2,2.2,1.68,0.0,,1620.0,8.11,0.0565,6510.0,2.13,1.48,0.1,,3.94,2.8,0.213,9.0,,6.57,2305.01,15.204,14.657,0.0
1980,1,1,68.9583216,0.3192,1.199,0.107,6.0,0.01888,19.0,0.69,6.15,438.0,,,5421.0,0.9,0.91,0.05,,,5.8,,,,,68.173,10.357,9.636,0.0
1981,1,1,1.8555582,0.03101,14.46,1.29,177.98,0.56,0.33,0.0,,1790.0,5.159,0.10265,5750.0,1.29,1.15,0.38,,4.28,4.4,0.754,6.0,,-27.07,1093.08,15.367,14.509,0.0
1983,2,4,3.005156,0.0375,2.401,0.214,25.6,0.08055,10.3,0.146,,1138.0,,0.0266,,0.82,0.87,,,,0.212,,,10.4,,153.676,14.745,12.448,0.0
1984,2,4,7.834435,0.0739,4.421,0.394,26.4,0.08306,1.7,0.108,,838.0,,0.0449,,0.82,0.87,,,,0.212,,,10.4,,153.676,14.745,12.448,0.0
1985,2,4,58.02035,0.279,3.319,0.296,15.2,0.04782,2.3,0.128,,410.0,,0.0372,,0.82,0.87,,,,0.212,,,10.4,,153.676,14.745,12.448,0.0
1986,2,4,31.509728,0.186,,,10.8,0.03398,,0.016,,503.0,,,,0.82,0.87,,,,0.212,,,10.4,,153.676,14.745,12.448,0.0
1987,1,1,1.7208604,0.02897,15.031,1.341,299.07803,0.941,0.52,,,1850.0,4.841,0.10474,5750.0,1.29,1.17,0.27,,4.3,,,,,,1086.24,15.037,14.399,0.0
1995,1,3,3.07644709,0.0407,1.61,,,,,0.0,583.25,1253.0,6.54,0.01442,5670.0,1.02,0.95,0.06,,4.4,,0.5583,,,,690.819,,14.166,0.0
2002,1,3,1.2137672,0.0116,0.78,0.07,,,,,,519.0,,0.0419,3068.0,0.17,0.13,-0.33,-2.62,,4.5,,3.3,,-84.48,40.0595,18.121,16.7,0.0
2003,1,3,0.45328509,0.006,0.73,0.065,,,,,,720.0,,0.0395,3068.0,0.17,0.13,-0.33,-2.62,,4.5,,3.3,,-84.48,40.0595,18.121,16.7,0.0
2004,1,3,1.865169,0.0154,0.57,0.051,,,,,,450.0,,0.0307,3068.0,0.17,0.13,-0.33,-2.62,,4.5,,3.3,,-84.48,40.0595,18.121,16.7,0.0
2005,1,1,704.1984,1.219,4.16,0.371,,,,0.041,,185.0,346.0,0.05008,5308.0,0.76,0.79,-0.25,-0.398,4.61,4.0,1.58,0.0,,,348.558,14.289,13.611,1.0
2007,1,1,2.6843285,0.03585,13.361,1.192,189.101,0.595,0.459,0.019,,1605.0,8.106,0.12599,5560.0,0.95,0.85,-0.1,,4.41,11.0,1.398,2.5,,-3.04,758.753,15.205,14.462,0.0
2009,1,1,3.79701816,0.0464,10.962,0.978,79.45,0.25,0.27,0.33,,1070.0,11.6,0.1168,5170.0,0.86,0.93,0.24,-0.323,4.54,5.0,1.448,3.0,,-45.4,646.647,16.047,14.845,0.0
