,key_0,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,placeholder1,placeholder2,raw_data_calc_orb_sma,placeholder3,raw_data_tsurf_k,raw_data_tsurf_c,pl_tsurf_k,pl_tsurf_c,P_HABITABLE
14,4 uma b,4 UMa b,4 UMa,1,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,0,270.27,0.24,-0.09,0.0,0.877,0.001,0.0,0.0,12.6,,,0.0,1.12,,,0.0,2511.48007,63.24785,-120.13914,0.0,7.902,0.199,-0.378,0.0,Msini,0.453,0.021,-0.036,0.0,,,,,,,,,0,K1 III,4415.0,70.0,-70.0,0.0,18.11,1.47,-1.47,0.0,1.23,0.15,-0.15,0.0,-0.25,0.04,-0.04,0.0,[Fe/H],1.8,0.15,-0.15,0.0,08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504,73.4603,1.18605,-1.18605,4.5801,0.023,-0.023,1.734,0.218,-0.218,4.23773,0.0047288,-0.0047288,,,0.876544742,,998.01065,724.86065,998.0105732418716,724.8605732418716,0
15,47 uma b,47 UMa b,47 UMa,1,3,Radial Velocity,1996,Lick Observatory,0,1078.0,2.0,-2.0,0.0,2.1,0.02,-0.02,0.0,13.2,,,0.0,1.18,,,0.0,804.08,22.25,-19.07,0.0,2.53,0.07,-0.06,0.0,Msini,0.032,0.014,-0.014,0.0,,,,,,,,,0,G0 V,5872.0,92.94,-113.53,0.0,1.21,0.04,-0.06,0.0,1.06,0.13,-0.14,0.0,0.04,0.1,-0.1,0.0,[M/H],4.3,0.07,-0.07,0.0,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,0.0289,-0.0289,5.03352,0.023,-0.023,3.75,0.34,-0.34,4.87837,0.0038294,-0.0038294,,,2.097916922,,221.7247246,-51.42527544,221.72470751539518,-51.425292484604796,0
16,47 uma c,47 UMa c,47 UMa,1,3,Radial Velocity,2001,Lick Observatory,0,2391.0,100.0,-87.0,0.0,3.6,0.1,-0.1,0.0,14.2,,,0.0,1.27,,,0.0,171.621,20.976,-23.201,0.0,0.54,0.066,-0.073,0.0,Msini,0.098,0.047,-0.096,0.0,,,,,,,,,0,G1 V,5872.0,92.94,-113.53,0.0,1.21,0.04,-0.06,0.0,1.06,0.13,-0.14,0.0,0.04,0.1,-0.1,0.0,[M/H],4.3,0.07,-0.07,0.0,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,0.0289,-0.0289,5.03352,0.023,-0.023,3.75,0.34,-0.34,4.87837,0.0038294,-0.0038294,,,3.568032728,,169.3450556,-103.8049444,169.34504260520708,-103.8049573947929,0
17,47 uma d,47 UMa d,47 UMa,1,3,Radial Velocity,2009,Lick Observatory,0,14002.0,4018.0,-5095.0,0.0,11.6,2.1,-2.9,0.0,13.5,,,0.0,1.2,,,0.0,521.22,92.17,-152.55,0.0,1.64,0.29,-0.48,0.0,Msini,0.16,0.09,-0.16,0.0,,,,,,,,,0,G0V,5872.0,92.94,-113.53,0.0,1.21,0.04,-0.06,0.0,1.06,0.13,-0.14,0.0,0.04,0.1,-0.1,0.0,[M/H],4.3,0.07,-0.07,0.0,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,0.0289,-0.0289,5.03352,0.023,-0.023,3.75,0.34,-0.34,4.87837,0.0038294,-0.0038294,,,11.59228795,,94.33976212,-178.8102379,94.33975486554355,-178.8102451344564,0
18,51 peg b,51 Peg b,51 Peg,1,1,Radial Velocity,1995,Haute-Provence Observatory,0,4.230785,3.6e-05,-3.6e-05,0.0,0.0527,0.003,-0.003,0.0,14.3,,,0.0,1.27,,,0.0,146.2018,19.0698,-3.1783,0.0,0.46,0.06,-0.01,0.0,Mass,0.013,0.012,-0.012,0.0,,,,,,,,,0,G5V,5758.0,101.62,-119.62,0.0,1.18,0.07,-0.04,0.0,1.03,0.17,-0.09,0.0,0.18,0.1,-0.1,0.0,[M/H],4.31,0.08,-0.06,0.0,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,15.4614,0.0297,-0.0297,5.45309,0.023,-0.023,3.911,0.021,-0.021,5.28647,0.002768,-0.002768,,,0.05170115,,1355.352921,1082.202921,1355.3528163947965,1082.2028163947966,0
19,6 lyn b,6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,919.86,1.92,-3.71,0.0,2.028,0.003,-0.005,0.0,13.4,,,0.0,1.2,,,0.0,597.83523,12.07748,-28.28673,0.0,1.881,0.038,-0.089,0.0,Msini,0.042,0.024,-0.032,0.0,,,,,,,,,0,K0 IV,4941.0,,,0.0,4.94,0.55,-0.5,0.0,1.32,0.2,-0.21,0.0,-0.17,0.11,-0.07,0.0,[Fe/H],3.16,0.08,-0.08,0.0,06h30m47.05s,97.6960311,+58d09m40.23s,58.1611753,54.6599,0.2734,-0.2734,5.87307,0.023,-0.023,3.701,0.3,-0.3,5.60686,0.001085,-0.001085,,,2.030546582,,383.6095341,110.4595341,383.60950456239993,110.45950456239996,0
20,61 vir b,61 Vir b,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,0,4.215,0.0006,-0.0006,0.0,0.050201,5e-06,-5e-06,0.0,2.11,,,0.0,0.188,,,0.0,5.1,0.5,-0.5,0.0,0.016,0.002,-0.002,0.0,Msini,0.12,0.11,-0.11,0.0,,,,,,,,,0,G5 V,5577.0,33.0,-33.0,0.0,0.96,0.01,-0.01,0.0,0.94,0.03,-0.03,0.0,-0.01,,,0.0,[Fe/H],4.34,0.03,-0.03,0.0,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,8.50332,0.01737,-0.0173,4.6955,0.0462,-0.0462,2.956,0.236,-0.236,4.54052,0.0055701,-0.0055701,,,0.050024355,,1213.179648,940.0296483,1213.179555074067,940.0295550740669,0
21,61 vir c,61 Vir c,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,0,38.021,0.034,-0.034,0.0,0.2175,0.0001,-0.0001,0.0,4.46,,,0.0,0.398,,,0.0,18.2,1.1,-1.1,0.0,0.057,0.003,-0.003,0.0,Msini,0.14,0.06,-0.06,0.0,,,,,,,,,0,G5 V,5577.0,33.0,-33.0,0.0,0.96,0.01,-0.01,0.0,0.94,0.03,-0.03,0.0,-0.01,,,0.0,[Fe/H],4.34,0.03,-0.03,0.0,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,8.50332,0.01737,-0.0173,4.6955,0.0462,-0.0462,2.956,0.236,-0.236,4.54052,0.0055701,-0.0055701,,,0.216769811,,582.8431138,309.6931138,582.8430690137934,309.69306901379343,0
22,61 vir d,61 Vir d,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,0,123.01,0.55,-0.55,0.0,0.476,0.001,-0.001,0.0,5.11,,,0.0,0.456,,,0.0,22.9,2.6,-2.6,0.0,0.072,0.008,-0.008,0.0,Msini,0.35,0.09,-0.09,0.0,,,,,,,,,0,G5 V,5577.0,33.0,-33.0,0.0,0.96,0.01,-0.01,0.0,0.94,0.03,-0.03,0.0,-0.01,,,0.0,[Fe/H],4.34,0.03,-0.03,0.0,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,8.50332,0.01737,-0.0173,4.6955,0.0462,-0.0462,2.956,0.236,-0.236,4.54052,0.0055701,-0.0055701,,,0.47418017,,393.9833095,120.8333095,393.9832792320904,120.83327923209043,0
23,7 cma b,7 CMa b,7 CMa,1,2,Radial Velocity,2011,Anglo-Australian Telescope,0,735.1,14.8,-1.0,0.0,1.758,0.024,-0.001,0.0,13.4,,,0.0,1.2,,,0.0,587.9855,19.0698,-19.0698,0.0,1.85,0.06,-0.06,0.0,Msin(i)/sin(i),0.06,0.03,-0.03,0.0,,,,,,,,,0,K1 III,4826.0,45.0,-55.0,0.0,4.87,0.17,-0.14,0.0,1.34,0.11,-0.12,0.0,0.21,0.1,-0.1,0.0,[Fe/H],3.19,0.06,-0.07,0.0,06h36m41.11s,99.171276,-19d15m22.25s,-19.2561808,19.8101,0.1648,-0.1648,3.95,0.03,-0.03,1.564,0.252,-0.252,3.67853,0.0041348,-0.0041348,,,1.757409778,,399.564966,126.414966,399.564935328539,126.414935328539,0
24,7 cma c,7 CMa c,7 CMa,1,2,Radial Velocity,2019,Multiple Observatories,0,996.0,1.5,-52.4,0.0,2.153,0.003,-0.08,0.0,13.9,,,0.0,1.24,,,0.0,276.5121,19.0698,-19.0698,0.0,0.87,0.06,-0.06,0.0,Msin(i)/sin(i),0.08,0.05,-0.04,0.0,,,,,,,,,0,K1III(+M),4826.0,45.0,-55.0,0.0,4.87,0.17,-0.14,0.0,1.34,0.11,-0.12,0.0,0.21,0.1,-0.1,0.0,[Fe/H],3.19,0.06,-0.07,0.0,06h36m41.11s,99.171276,-19d15m22.25s,-19.2561808,19.8101,0.1648,-0.1648,3.95,0.03,-0.03,1.564,0.252,-0.252,3.67853,0.0041348,-0.0041348,,,2.151864803,,361.056213,87.90621297,361.05618521471894,87.90618521471896,0
25,70 vir b,70 Vir b,70 Vir,1,1,Radial Velocity,1996,Lick Observatory,0,116.688,0.0054,-0.0054,0.0,0.481,0.022,-0.022,0.0,12.6,,,0.0,1.13,,,0.0,2380.45,193.87,-193.87,0.0,7.49,0.61,-0.61,0.0,Mass,0.3988,0.0019,-0.0019,0.0,,,,,,,,,0,G5V,5495.0,,,0.0,1.89,,,0.0,1.09,,,0.0,-0.09,0.03,-0.03,0.0,[Fe/H],3.95,,,0.0,13h28m25.56s,202.1064898,+13d46m34.71s,13.7763085,17.9011,0.056,-0.0557,4.96808,0.023,-0.023,3.5,0.294,-0.294,4.76178,0.0044158,-0.0044158,,,0.480950213,,541.8400467,268.6900467,541.8400050393369,268.69000503933694,0
26,8 umi b,8 UMi b,8 UMi,1,1,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,0,93.4,4.5,-4.5,0.0,0.49,0.02,-0.02,0.0,13.6,,,0.0,1.22,,,0.0,416.3573,50.8528,-50.8528,0.0,1.31,0.16,-0.16,0.0,Msini,0.06,0.09,-0.09,0.0,,,,,,,,,0,K0,4847.0,7.0,-7.0,0.0,10.3,0.57,-0.57,0.0,1.44,0.19,-0.19,0.0,-0.03,,,0.0,[Fe/H],2.57,0.03,-0.03,0.0,14h56m48.40s,224.201685,+74d54m03.38s,74.9009379,162.552,0.651,-0.646,6.83295,0.023,-0.023,4.515,0.02,-0.02,6.55896,0.000237,-0.000237,,,0.454945359,,1105.448797,832.298797,1105.4487120697556,832.2987120697557,0
27,81 cet b,81 Cet b,81 Cet,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,1005.57,1.84,-1.94,0.0,2.104,0.003,-0.003,0.0,13.1,,,0.0,1.17,,,0.0,1051.05854,24.79062,-21.2945,0.0,3.307,0.078,-0.067,0.0,Msini,0.037,0.015,-0.025,0.0,,,,,,,,,0,G5 III,4734.0,,,0.0,11.21,0.81,-0.35,0.0,1.23,0.3,-0.25,0.0,-0.11,0.1,-0.06,0.0,[Fe/H],2.41,0.07,-0.06,0.0,02h37m41.85s,39.4243555,-03d23m46.90s,-3.3963607,101.26,1.222,-1.222,5.64307,0.023,-0.023,3.266,0.258,-0.258,5.37588,0.0031065,-0.0031065,,,2.104668654,,543.5671861,270.4171861,543.5671443393957,270.4171443393957,0
28,ab aur b,AB Aur b,AB Aur,1,1,Imaging,2022,Subaru Telescope,0,,,,,93.9,49.3,-49.3,0.0,12.5,,,0.0,1.12,,,0.0,2860.45566,,,0.0,9.0,,,0.0,Mass,0.4,0.2,-0.21,0.0,,,,,,,,,0,,9770.0,100.0,-100.0,0.0,2.96,0.1,-0.07,0.0,2.4,0.2,-0.2,0.0,,,,,,3.77,0.09,-0.07,0.0,04h55m45.85s,73.9410446,+30d33m03.92s,30.5510888,162.127,1.526,-1.498,7.076,0.042,-0.042,4.23,0.016,-0.016,7.07854,0.001049,-0.001049,,,0.0,,86.28844894,-186.8615511,86.28844230463844,-186.86155769536154,0
29,ab pic b,AB Pic b,AB Pic,1,1,Imaging,2005,Paranal Observatory,0,,,,,260.0,,,0.0,12.3,,,0.0,1.1,,,0.0,4290.5,158.9,-158.9,0.0,13.5,0.5,-0.5,0.0,Mass,,,,,,,,,,,,,0,K2 V,5285.0,10.0,-9.0,0.0,1.0,0.03,-0.02,0.0,0.9,0.1,-0.1,0.0,0.04,0.02,-0.02,0.0,[Fe/H],4.53,0.01,-0.01,0.0,06h19m12.94s,94.8039208,-58d03m14.83s,-58.0541184,50.0475,0.0735,-0.0733,9.13,0.03,-0.03,6.981,0.024,-0.024,8.8378,0.001332,-0.001332,,,0.0,,16.30434502,-256.845655,16.304343768761772,-256.8456562312382,0
30,af lep b,AF Lep b,AF Lep,1,1,Imaging,2023,Paranal Observatory,0,8030.0,1800.0,-1800.0,0.0,8.4,1.1,-1.3,0.0,13.1,,,0.0,1.17,,,0.0,1017.0509,222.47988,-190.69704,0.0,3.2,0.7,-0.6,0.0,Mass,0.24,0.27,-0.15,0.0,,,,,1400.0,300.0,-300.0,0.0,0,F8 V,6130.0,60.0,-60.0,0.0,1.25,0.06,-0.06,0.0,1.2,0.06,-0.06,0.0,0.19,0.02,-0.02,0.0,[Fe/H],4.4,,,0.0,05h27m04.78s,81.7699216,-11d54m04.23s,-11.9011752,26.8564,0.0189,-0.0188,6.332,0.035,-0.035,4.926,0.021,-0.021,6.18644,0.0011395,-0.0011395,,,8.33958812,,117.6307531,-155.5192469,117.6307440221905,-155.51925597780948,0
31,au mic b,AU Mic b,AU Mic,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,8.4629991,,,0.0,0.0645,0.0013,-0.0013,0.0,3.957,0.146,-0.146,0.0,0.353,0.013,-0.013,0.0,20.12,1.57,-1.72,0.0,0.0633,0.00494,-0.00541,0.0,Mass,0.186,0.036,-0.035,0.0,21.2,2.5,-2.4,0.0,600.0,17.0,-16.0,0.0,1,M1,3665.0,31.0,-31.0,0.0,0.82,0.02,-0.02,0.0,0.5,0.03,-0.03,0.0,0.12,0.1,-0.1,0.0,[M/H],4.4,0.03,-0.03,0.0,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,9.7221,0.004625,-0.004625,8.81,0.1,-0.1,4.529,0.02,-0.02,7.84038,0.000731,-0.000731,,,0.064507967,,650.048989,376.898989,650.0489390778175,376.89893907781754,0
