,ra,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,label
2923,320.427977,37.822833,-4.599,-11.514,2458731.568477,0.8912218,1.846,9160.0,15.1782,4445.59,2274.0,12.8424,891.899,6245.0,4.12,1.59,0.0
2924,301.520846,34.315352,-1.741,-5.531,2458733.088312,1.5380702,2.226,8770.0,18.9812,1996.94,1862.0,13.3403,1277.4,6125.0,3.87,2.06,0.0
2926,311.862231,37.117833,1.8381499003984059,-14.920173306772908,2459797.788743,1.9742108,2.0786197,20522.5367177,10.743430929724102,1053.1688468,1452.9285261,13.134,417.32284119919717,3633.7,4.308429111592632,1.5313770561166058,0.0
2933,296.837248,48.239969,0.961,8.429,2459825.945136,3.2346923,3.6298092,10190.5699792,13.5950468,843.7118738,1374.5745218,12.6877,587.039,5613.0,4.2,1.3147399,1.0
2935,296.414319,51.161973,-8.265,-5.897,2458732.821053,1.8532983,1.197,10790.0,10.743430929724102,480.295,1304.0,12.5299,777.748,6292.8,4.308429111592632,1.5313770561166058,0.0
2936,302.284347,49.154874,18.728,-12.158,2459440.870522,5.6133922,1.424,15850.0,15.2695,91.3894,861.0,12.6275,449.327,5848.0,4.41,1.07,0.0
2940,328.911371,28.1795,8.41,2.65,2459826.736428,3.1198404,1.7646723,8016.8009531,12.1758,728.1777183,1324.8877848,10.9541,417.32284119919717,6011.2,4.308429111592632,1.13476,1.0
2941,310.121327,25.336895,-5.184,-12.058,2459444.951847,2.5313956,3.128,9640.0,23.2858,3659.88,2166.0,13.3888,721.677,5854.0,4.36,1.13,0.0
2948,294.557985,47.783127,11.27,20.887,2458733.079623,0.3093954,0.442,7680.0,15.7244,1703.73,1789.0,13.0744,287.244,4769.0,4.59,0.73,0.0
2958,294.487932,46.002151,-17.71,-20.804,2458733.141437,0.476873,1.135,1930.0,16.2032,5402.97,2388.0,11.857,447.387,5877.0,4.308429111592632,3.57,0.0
2963,299.809982,38.393653,-3.035,-7.855,2459771.049138,4.1273472,2.74,18840.0,20.1447,1041.76,1582.0,12.8903,1067.6,7795.0,4.39,1.44,0.0
2964,306.256232,46.923098,14.763,42.064,2458732.453924,1.3298469,3.007,2190.0,6.98364,32313.0,3735.0,11.9635,289.309,5791.1,4.69,0.81,0.0
2965,297.45374,41.011019,3.041,2.598,2459800.506508,17.8552322,7.525823,8831.6711744,14.5976753,183.2136427,938.3377787,10.931,399.398,6779.2,4.25,1.49114,1.0
2967,308.561885,35.395204,-7.377,-13.809,2458727.428216,4.3170598,2.879,10240.0,12.9424,361.994,1215.0,11.9683,440.708,6017.0,4.29,1.25,0.0
2968,297.295912,38.857228,-1.541,-2.519,2459446.399559,1.764534,2.187,27120.0,23.84,3379.0,2124.0,13.33,845.721,6479.0,4.4,1.2,0.0
2972,32.321881,-48.48474,13.651,-3.888,2459088.390424,0.9399664,1.122492,587.9364245,6.6149456,22464.7891996,3122.4488768,10.3987,480.322,6300.3,3.72,2.5465,0.0
2975,314.895323,52.396406,17.437,8.666,2458761.60297,2.7568649,2.312,18380.0,10.743430929724102,4144.881652659686,1461.4867675239982,13.0852,425.989,5852.984551827742,4.308429111592632,1.5313770561166058,0.0
2981,317.124796,49.112843,-1.389,-17.23,2459851.521255,1.3176767,1.692,530.0,4.16809,3463.78,2137.0,10.9683,460.849,7176.0,4.16,1.73,0.0
2982,322.029218,56.823139,-2.689,-4.252,2458762.172026,3.310636,3.9,590.0,10.743430929724102,126.954,935.0,10.9511,4982.73,3245.0,4.308429111592632,1.5313770561166058,0.0
2984,330.271302,38.530284,132.913,85.071,2458762.231266,3.121339,4.331,26300.0,9.21314,235.634,1091.0,13.2966,153.214,3858.0,4.69,0.56,0.0
2985,303.369006,53.276849,-7.091,-8.315,2458757.57084,3.0373017,4.664,6290.0,10.743430929724102,3202.79,2095.0,12.9875,417.32284119919717,4903.0,4.308429111592632,1.5313770561166058,0.0
3000,4.859275,44.027596,0.985,-8.866,2459854.762356,1.805376,2.0790249,21680.3724998,12.0157766,535.3422852,1226.8109303,12.8416,329.036,5090.0,4.54,0.820538,1.0
3002,9.516583,34.711402,-26.775,-32.478,2459853.969135,4.0088245,2.7370959,21483.7462243,11.5444262,165.190061,914.3568608,11.9475,202.078,5007.0,4.56,0.795696,1.0
3005,347.08487,-29.590446,15.536,-29.348,2459104.87232,8.0635,3.396,5180.0,24.3071,621.088,1390.0,12.2524,646.707,5657.0,3.97,1.71,0.0
3014,312.456261,56.896568,-5.066,-4.88,2458787.3585,2.6816329,2.695,3100.0,13.2689,1859.62,1829.0,13.1802,1162.86,7047.0,3.89,2.34,0.0
3017,298.705925,58.301643,-15.839,1.501,2459853.828611,1.7384809,2.6777485,3882.8974217,12.9358521,3182.4341084,1915.6210676,12.3512,640.122,5540.0,3.95,1.72093,0.0
3019,305.221945,59.448903,9.112,30.79,2459854.418388,1.4822451,1.595,21920.0,14.0641,442.993,1278.0,12.883,360.313,5115.0,4.45,0.91,1.0
3029,11.88786,21.938552,1.8381499003984059,-14.920173306772908,2458779.819452,5.6902814,2.344,21290.0,12.9495,121.736,925.0,12.0,417.32284119919717,5400.1,4.308429111592632,0.86,0.0
3034,18.55398,19.470441,-1.346,10.098,2458766.790402,19.8875338,1.34,3020.0,13.605,17.0243,565.0,10.8154,318.244,5856.2,4.07,1.57,0.0
3035,314.040517,57.708367,2.459,4.13,2458784.456622,2.6342729,3.998,3190.0,10.743430929724102,4144.881652659686,1461.4867675239982,12.2546,272.628,5852.984551827742,4.308429111592632,1.5313770561166058,0.0
3037,359.793385,39.314256,185.747,1.023,2459878.618825,3.9365629,2.19,15461.0,8.09927,41.2897,706.0,12.7882,130.091,3689.0,4.64,0.61,1.0
3039,21.871101,38.968114,-0.176,-3.236,2458785.619295,1.9618085,2.749,13740.0,12.8959,1611.53,1765.0,13.0942,666.802,6026.0,4.41,1.1,1.0
3040,314.040512,57.708379,1.8381499003984059,-14.920173306772908,2458784.455915,2.6340964,3.477,2250.0,4.1106,1091.48,1601.0,11.963,417.32284119919717,5163.2,4.308429111592632,0.83,0.0
3043,12.569587,27.568806,1.8381499003984059,-14.920173306772908,2459878.348748,5.0859432,2.57,7091.0,13.8966,756.586,1461.4867675239982,11.224,364.172,6360.4,4.308429111592632,1.48,0.0
3045,21.065125,32.8107,-9.175,-16.632,2459855.36278,4.2186625,3.2580998,18527.6525232,13.6976778,311.7091966,1071.6603274,12.7628,440.089,5425.9,4.41,1.0068901,1.0
3053,23.992574,54.716441,4.255,-2.194,2458813.485731,1.5492212,2.287,1420.0,6.80431,8634.8,2685.0,10.9469,635.734,8364.0,4.25,1.78,0.0
3069,26.29741,54.559653,-19.248,14.892,2459884.860175,3.1000076,5.7169568,17331.0936024,10.743430929724102,577.0396734,1250.0321068,12.6532,417.32284119919717,8951.0,4.308429111592632,1.5313770561166058,0.0
3070,31.750309,55.178785,2.898,-8.263,2459906.847676,2.3882776,3.102,12572.0,18.5453,2401.38,1950.0,13.4977,441.614,5097.0,4.5,0.87,0.0
3075,21.177329,51.671855,-5.113,-0.221,2459907.512799,3.5639862,2.135,2126.0,10.1033,737.328,1451.0,11.5917,774.636,6940.9,3.85,2.41,0.0
3078,44.470988,30.625597,17.645,-11.995,2459886.331856,4.4085194,3.3016793,8977.0354304,12.4986982,648.882601,1287.2452024,11.4453,319.031,5961.2,4.25,1.2983299,1.0
3082,349.606266,-19.823843,18.43,16.943,2460202.579344,4.7150255,3.302,4566.0,17.6148,1853.5,1827.0,9.74346,157.667,5756.9,3.9,1.2,0.0
3085,41.904242,61.306342,5.534,-3.927,2458810.750472,2.4254068,3.323,1910.0,11.0715,7043.91,2552.0,11.2351,812.606,8290.0,3.95,2.51,0.0
3093,354.170634,-34.611893,87.467,-8.832,2459110.92156,1.38665,2.238,24680.0,15.5656,1237.91,1652.0,11.4996,233.586,5444.0,4.48,0.93,0.0
3095,35.383494,32.246044,47.771,-21.428,2459886.284961,4.6401269,3.0320144,9954.9098835,10.2407443,243.0337156,1007.016024,11.7524,255.206,5191.0,4.37,1.00936,1.0
3098,49.792323,27.263332,1.47,-3.399,2459518.690795,3.105654,1.999,12400.0,17.6225,643.523,1403.0,13.3483,887.137,6241.0,4.2,1.44,0.0
3102,39.282337,54.851215,18.844,-11.37,2459883.864179,3.246208,3.4201513,9405.9910446,13.2996429,1107.8472213,1471.4303775,11.8433,396.378,6088.0,4.24,1.34548,1.0
3108,15.654394,51.303892,-6.931,-21.334,2459888.212325,9.0881638,3.402,24660.0,12.8974,57.0645,765.0,11.419,176.436,5211.0,4.58,0.8,1.0
3121,75.480167,50.131178,-11.021,-21.44,2459911.415937,1.9023387,1.7524491,11944.9450808,12.3923862,959.1421886,1419.3532551,12.3824,338.84,5464.2,4.4,1.02592,1.0
3131,69.552342,39.458003,19.7,-70.764,2459911.46982,2.1547472,1.6582238,49552.1823437,11.6102486,53.5321999,689.8799484,13.1751,112.71,3538.0,4.73,0.50843,1.0
3143,84.789937,60.424358,5.46,-13.931,2459914.548554,4.727392,3.6170867,10393.2012701,19.3205438,454.2960871,1177.4826013,13.135,587.219,5947.0,4.36,1.1428699,0.0
3146,85.151086,34.796663,1.163,-5.145,2459545.961039,6.5019596,3.078,7130.0,10.743430929724102,9344.79,2739.0,11.1843,1686.41,13253.0,4.308429111592632,1.5313770561166058,0.0
3148,355.901919,-11.26957,11.261,-17.047,2458355.67942,1.632,1.466,5500.0,9.24379,806.657,1484.0,13.2889,741.257,5997.0,4.39,1.11,0.0
3152,83.140649,57.623092,0.18,-3.739,2459912.051628,2.126938,3.0013693,7776.0678472,28.758202,6214.0282971,2264.4516711,12.6396,881.379,6361.4,3.83,2.2823701,0.0
3162,72.799655,50.096898,40.626,-29.917,2458835.622721,8.9279009,3.278,49560.0,15.0384,17.5959,570.0,12.8814,166.818,3916.0,4.59,0.67,0.0
3166,78.040149,34.750032,19.705,-86.141,2458839.923433,1.8012697,3.182,1800.0,3.19942,1024.77,1576.0,11.7603,145.759,4570.0,4.54,0.75,0.0
3174,62.618611,32.306767,2.412,-5.995,2459521.512909,3.6502527,2.506,9000.0,21.323,1462.84,1722.0,12.4332,884.571,6630.3,4.0,1.95,0.0
3178,91.003642,55.019979,-9.036,-43.154,2459911.667339,3.4391954,1.6681096,32914.4087358,12.4377309,58.4322157,705.1521561,13.1858,181.139,3902.0,4.62,0.637223,1.0
3180,65.615413,46.536013,-17.959,-9.363,2458838.180194,1.6882863,2.636,5190.0,10.743430929724102,4144.881652659686,1461.4867675239982,12.816,420.132,5852.984551827742,4.308429111592632,1.5313770561166058,0.0
3192,348.039774,-45.017093,-7.696,9.169,2458326.05107,1.55028,1.571,23529.8,14.723,1769.75,1806.0,11.9969,244.271,5039.5,4.308429111592632,0.87,0.0
3203,1.399014,-19.489511,1.8381499003984059,-14.920173306772908,2458356.50088,3.10926,2.506,5448.84,9.58224,532.263,1338.0,13.105,629.792,5894.0,4.32,1.18,0.0
