,ra,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,label
3945,308.426581,87.009328,1.679,6.066,2459767.611028,1.7590566,3.5349264,10499.9757194,20.9577864,5910.4855015,2236.2766989,11.8931,621.061,6250.0,3.91912,1.9992501,
3946,293.583219,76.661086,-1.687,2.752,2459915.163041,5.8929985,3.788,17850.0,16.0223,342.766,1198.0,13.0024,686.482,6182.0,4.3753,1.17,
3947,270.317239,35.594899,29.109,-571.47,2459396.409578,7.4463034,2.0033138,4045.7241785,2.4048644,5.6286114,392.8439471,11.2695,30.0346,3353.0,4.84911,0.375859,1.0
3948,284.280822,48.537916,-15.115,-31.524,2459420.207144,3.3792358,2.8993928,18782.5364499,13.059562,395.4518688,1137.3474484,13.8686,714.501,5529.0,4.47066,0.948617,
3949,64.183998,-26.766407,-25.83,-116.428,2458417.605025,17.9635083,4.4297958,1266.94519,3.2970197,23.4693523,561.3646044,9.0567,57.3973,5229.0,4.55429,0.794471,1.0
3950,284.830443,44.658093,-4.972,-10.392,2459391.084226,4.0822894,3.2882557,16484.9762858,,399.7768506,1140.4445133,14.6979,1071.8,5780.0,4.438,,1.0
3951,276.123535,32.065393,3.317,5.397,2459772.037311,4.3753714,4.8701814,7945.0338179,18.673261,2658.9801496,1831.4645775,11.0477,627.308,7305.0,4.05424,1.99827,
3952,88.754704,82.889011,-1.113,-4.741,2459910.394832,4.0434287,3.388,8960.0,16.7752,827.311,1494.0,13.4835,1435.21,6557.0,4.08473,1.75,
3953,274.268664,21.909546,-50.671,26.134,2459415.15198,1.8498567,2.518276,195.4102498,1.7193265,1194.2103654,1499.3048942,7.9147,56.0739,5834.0,4.44433,1.0173301,
3954,274.268664,21.909546,-50.671,26.134,2459393.257825,10.3088724,2.2763645,372.3295802,2.2122841,120.8695,845.6661185,7.9147,56.0739,5834.0,4.44433,1.0173301,
3955,285.971768,42.545624,-5.832,-18.29,2459423.780179,5.2410659,3.0113696,8947.1015296,12.4231453,528.7500273,1223.0165958,13.5728,989.963,6064.0,4.27292,1.28562,
3956,287.130578,42.350153,-4.248,-3.627,2459394.539688,4.2253498,2.7695297,7240.8152367,8.8893197,342.3014046,1097.038628,13.4584,630.785,5501.0,4.39363,1.03122,1.0
3957,292.872929,41.064173,4.635,-21.579,2459420.803667,2.4552388,1.7323271,44130.1605859,12.9928631,77.5068035,756.7539667,14.9826,381.949,3792.0,4.63873,0.614823,1.0
3958,172.872285,71.081486,-57.1,-26.226,2459608.48447,4.1596837,2.5973202,17900.4756514,10.0262443,74.58191,749.5111965,13.5868,268.37,4230.0,4.55383,0.711036,
3959,293.732783,36.815494,0.142,-0.954,2459769.924018,1.0186989,1.4947875,91558.6353269,,2544.6509492,1811.45189,14.956,,5780.0,4.438,,1.0
3960,278.326026,25.395158,6.43,-19.931,2460338.433851,2.7519172,1.329,9811.0,13.4019,328.515,1186.0,10.3446,213.604,5856.0,4.25,1.28,
3961,77.323576,-36.591034,21.66,-15.71,2459199.549231,0.7649571,1.094,1900.0,12.9538,12939.9,2971.0,9.1577,176.617,6307.9,3.97,1.65,
3962,306.137819,87.071156,45.004,78.317,2459759.877559,10.6925011,3.491,1200.0,4.01292,93.3426,865.0,10.5801,210.858,5844.0,4.34318,1.15,
3963,274.760444,34.045704,6.987,140.7,2459778.550072,8.8517354,4.3401879,1034.8661285,3.6624912,190.2722086,947.2477653,8.5608,87.8966,6138.0,4.43818,1.07689,
3964,270.165725,72.939501,0.475,4.02,2459911.846148,3.4149091,2.7231879,13219.6475165,13.9171881,537.9836369,1228.3213942,13.5167,718.574,5480.0,4.31394,1.13032,
3965,289.839513,56.93037,2.392,-7.592,2459772.753949,2.9985667,3.025166,28040.9068572,17.8036847,748.0922226,1333.854734,13.7703,880.941,6126.0,4.46702,1.04172,0.0
3966,282.966215,48.345055,1.565,1.242,2459422.76782,3.1208396,2.405278,17027.4064902,16.2108254,744.4110758,1332.2108185,14.3168,1145.28,5983.0,4.3973,1.09921,1.0
3967,294.192119,39.618973,-0.485,-2.528,2459420.580429,1.5449334,1.1043459,4941.8700913,10.7011777,3717.1991885,1991.4697226,12.8939,822.96,6136.25,4.15767,1.4874001,1.0
