,hostname,st_spectype,st_teff,st_rad,st_lum,sy_dist,sy_bmag,sy_vmag,b-v_index,abs_mag
2858,HD 110082,F8 V,6200.0,1.19,0.281,105.096,9.755,9.23,0.5250000000000004,4.122069065481343
2875,HD 111232,G8V,5502.0,0.95,-0.131,28.9571,8.305,7.59,0.7149999999999999,5.281224670430635
2904,HD 112300,M1 III,3657.0,65.8,2.701,62.07324,4.903,3.39515,1.5078499999999995,-0.5693720729393563
2906,HD 112570,K0 III,4750.0,9.85,1.647,101.166,7.134,6.11055,1.0234500000000004,1.085377106127197
2907,HD 112640,K0 III,4155.0,39.0,2.453,323.335,7.957,6.53649,1.4205100000000002,-1.0117735908608143
2922,HD 113538,K5/M0V,4060.0,0.71,-0.921,16.2817,10.451,9.05,1.4009999999999998,7.991501258267785
2936,HD 114082,F3 V,6651.0,1.49,0.583,95.3906,8.636,8.2,0.43599999999999994,3.3024720976150608
2950,HD 114386,K3V,4820.0,0.74,-0.495,27.9243,9.797,8.73,1.0670000000000002,6.50008852435589
2955,HD 114613,G3V,5782.0,2.01,0.651,20.2836,5.538,4.85,0.6880000000000006,3.314274812427575
2989,HD 114783,K1V,5135.0,0.81,-0.377,21.0628,8.436,7.56,0.8760000000000003,5.9424194801593195
3016,HD 11506,G0 V,6058.0,1.38,0.36,51.261,8.107,7.51,0.5969999999999995,3.9610646292444605
3111,HD 120084,G7 III,4892.0,9.12,1.64,103.044,6.917,5.90686,1.0101399999999998,0.8417464552682699
3150,HD 125595,K3/4V,4693.0,0.76,-0.602,28.1989,10.197,9.03,1.1669999999999998,6.778839162879727
3164,HD 125612,G3 V,5841.0,1.05,0.06,57.6207,8.93,8.31,0.6199999999999992,4.507107350176439
3229,HD 128311,K0,4965.0,0.76,-0.495,16.3292,8.422,7.48,0.9420000000000002,6.415175458464903
3313,HD 134060,G2V,5914.0,1.17,0.201,24.0125,6.907,6.29,0.617,4.3878131106512495
3317,HD 134606,G5IV,5648.0,1.12,0.072,26.7909,7.608,6.86,0.7479999999999993,4.7200634833832975
3333,HD 134987,G5V,5750.0,1.22,0.212,26.1804,7.169,6.47,0.6989999999999998,4.380118611602848
3351,HD 136352,G3/5V,5672.0,1.04,0.037,14.682,6.282,5.65,0.6319999999999997,4.816073901322836
3394,HD 13808,K2V,5034.0,0.82,-0.409,28.2305,9.232,8.36,0.8719999999999999,6.106407149237427
3400,HD 13908,F8 V,6255.0,1.67,0.602,79.5515,8.042,7.52,0.5220000000000002,3.01675813504733
3434,HD 14067,G9 III,4815.0,12.4,1.898,142.024,7.575,6.53329,1.0417100000000001,0.7714812996747771
3455,HD 141004,G0Vvar,5936.0,1.34,0.346,11.8148,5.01,4.4154,0.5945999999999998,4.053268128360155
3469,HD 141399,K0 V,5360.0,1.46,0.201,37.0169,7.952,7.20856,0.7434399999999997,4.366559771414517
3499,HD 142,F7V,6249.0,1.4,0.477,26.1853,6.201,5.7,0.5009999999999994,3.609712230523719
3556,HD 143361,G6 V,5505.0,0.99,-0.092,68.5146,10.026,9.2,0.8260000000000005,5.021084367077462
3590,HD 1461,G3 V,5386.0,1.24,0.075,23.4534,7.146,6.47933,0.6666699999999999,4.628300947217177
3609,HD 147379,M0.0 V,4090.0,0.57,-1.097,10.7643,9.946,8.61,1.3360000000000003,8.450071034972021
3619,HIP 79762,M3,3419.0,0.5,-1.523,10.7612,12.076,10.615,1.4610000000000003,10.455696485206955
3639,HD 147513,G3/5V,5930.0,0.98,0.013,12.9032,6.0,5.37,0.6299999999999999,4.816512855480713
