,hostname,st_spectype,st_teff,st_rad,st_lum,sy_dist,sy_bmag,sy_vmag
725,DS Tuc A,G6 V,5428.0,0.96,-0.14,44.0622,8.886,8.17
861,EPIC 220674823,G5,5590.0,0.83,-0.119,244.59,12.576,12.101
872,EPIC 246851721,F5 V,6202.0,1.59,0.526,372.632,12.067,11.237
884,G 264-012,M4.0 V,3326.0,0.3,-1.972,16.009,14.644,13.078
885,G 9-40,M2.5 V,3348.0,0.31,-1.971,27.9276,15.477,13.821
906,GJ 1148,M5,3264.0,0.4,-1.699,11.0143,13.343,11.939
947,GJ 143,K4.5,4640.0,0.69,-0.686,16.32,9.214,8.08
959,GJ 15 A,M1,3607.0,0.38,-1.655,3.56228,9.616,8.09
975,GJ 160.2,K7,4345.0,0.6,-0.921,25.8557,10.938,9.7
982,GJ 179,M4,3277.0,0.41,-1.699,12.356,13.552,11.963
989,GJ 180,M3,3562.0,0.42,-1.523,11.9407,12.436,10.914
1000,GJ 2056,M0V:,4017.0,0.68,-0.959,28.4434,11.702,10.37
1013,GJ 229,M1.5V,3710.0,0.46,-1.222,5.75624,9.591,8.15
1018,GJ 251,M3.0V,3423.0,0.38,-1.699,5.58057,11.74,9.89
1026,GJ 27.1,M4,3706.0,0.54,-1.301,23.6062,12.904,11.45
1030,GJ 273,M3.5V,3283.0,0.33,-2.0,5.921535,11.313,9.84
1048,GJ 3021,G6V,5336.0,0.96,-0.174,17.5559,7.352,6.59
1053,GJ 3082,M4,3613.0,0.47,-1.523,16.6186,12.555,11.041
1057,GJ 3090,M3,3574.0,0.55,-1.301,22.4751,12.89,11.403
1077,GJ 328,M1,3920.0,0.67,-1.0,20.5266,11.305,9.99
1084,GJ 3293,M2.5,3466.0,0.4,-1.658,20.1903,13.436,11.945
1092,GJ 3341,M2.5,3526.0,0.44,-1.538,23.619,13.544,12.062
1095,GJ 338 A,M0.0V,3867.0,0.54,-1.097,6.33278,8.995,7.64
1100,GJ 338 B,M0 V,4014.0,0.58,-1.101,6.33256,9.117,7.7
1115,GJ 3470,M1.5,3600.0,0.5,-1.538,29.4214,13.785,12.332
1141,GJ 357,K,3501.0,0.34,-1.699,9.44181,12.355,10.91
1151,GJ 367,M1:,3501.0,0.51,-1.523,9.41263,11.617,10.153
1162,GJ 3929,M3.5 V,3369.0,0.32,-1.937,15.8095,14.333,12.675
1167,GJ 393,M2,3545.0,0.44,-1.523,7.03149,11.054,9.65
1172,GJ 3942,M0,3867.0,0.61,-1.12,16.9287,11.746,10.166
