pl_name,pl_type
TOI-5799 b,Super+Earth
TOI-1347 c,Super+Earth
TOI-1347 b,Super+Earth
Kepler-139 d,Super+Earth
HD 134606 e,Super+Earth
TOI-1751 b,Super+Earth
TOI-238 b,Super+Earth
Wolf 327 b,Super+Earth
TOI-2266 b,Super+Earth
HD 63433 d,Super+Earth
HD 88986 b,Super+Earth
GJ 806 b,Super+Earth
AU Microscopii d,Super+Earth
GJ 3988 b,Super+Earth
TOI-1801 b,Super+Earth
HIP 113103 b,Super+Earth
HIP 29442 c,Super+Earth
HIP 29442 d,Super+Earth
TOI-198 b,Super+Earth
TOI-2095 b,Super+Earth
TOI-2095 c,Super+Earth
TOI-1052 b,Super+Earth
TOI-262 b,Super+Earth
GJ 367 c,Super+Earth
TOI-1470 b,Super+Earth
TOI-1680 b,Super+Earth
MOA-2022-BLG-249L b,Super+Earth
TOI-784 b,Super+Earth
Rho Coronae Borealis e,Super+Earth
TOI-411 b,Super+Earth
TOI-411 c,Super+Earth
WASP-84 c,Super+Earth
TOI-2000 b,Super+Earth
TOI-2018 b,Super+Earth
TOI-1416 b,Super+Earth
TOI-2194 b,Super+Earth
TOI-715 b,Super+Earth
HD 207496 b,Super+Earth
LP 791-18 d,Super+Earth
TOI-244 b,Super+Earth
Kepler-1977 b,Super+Earth
Kepler-1986 b,Super+Earth
Kepler-1987 b,Super+Earth
Kepler-1987 c,Super+Earth
Kepler-1987 e,Super+Earth
Kepler-1988 b,Super+Earth
Kepler-1991 b,Super+Earth
Kepler-2000 c,Super+Earth
Kepler-2001 b,Super+Earth
Kepler-2001 c,Super+Earth
Kepler-1126 c,Super+Earth
Kepler-1162 c,Super+Earth
Kepler-1181 c,Super+Earth
Kepler-1471 c,Super+Earth
Kepler-1610 c,Super+Earth
Kepler-1669 d,Super+Earth
Kepler-1814 c,Super+Earth
Kepler-1834 c,Super+Earth
Kepler-1894 c,Super+Earth
Kepler-1921 c,Super+Earth
Kepler-311 d,Super+Earth
Kepler-416 d,Super+Earth
